Project Name,Stars,Forks,Commits,isFork,Branch,Contributors,Size,Comment Lines,LOC,Blank Lines,Java,,,Incalculable due to TIME LIMIT,Tutorial repository,Noting Refactoring
games647/fastlogin,488,118,1109,FALSE,main,29,8473,3603,6583,1576,468736,,,,,
team-rtg/realistic-terrain-generation,244,119,3402,FALSE,1.12.2-dev,17,27737,3318,64564,17875,3043501,,,,,
everit-org/json-schema,848,283,1078,FALSE,master,38,2555,2039,15316,3446,711661,,,,,
treasure-data/digdag,1301,221,4397,FALSE,master,99,84997,4322,92270,14571,4121614,,,,,
jpmml/jpmml-sklearn,528,117,1783,FALSE,master,1,215923,8062,24514,8493,1195202,,,,,
beanshell/beanshell,831,181,1064,FALSE,master,20,16099,14615,29592,5433,1978824,,,,,
uber/okbuck,1536,165,1111,FALSE,master,41,17744,874,10800,2156,474870,,,,,
zalando/nakadi,947,291,6019,FALSE,master,54,15424,1495,51637,9709,2622044,,,,,
widdix/aws-cf-templates,2742,1381,1036,FALSE,master,38,12918,74,3691,325,200478,,,,,
xuxueli/xxl-job,27201,10791,1742,FALSE,master,57,34297,2925,9104,2259,770675,,,,,
refinedmods/refinedstorage,355,177,4128,FALSE,develop,67,32333,2553,42392,10229,2018226,,,,,
alexmofer/projectx,457,152,1004,FALSE,master,1,60761,8186,17993,2881,948979,,,,,
bootique/bootique,1414,284,1556,FALSE,master,16,3069,11628,27487,8399,1592580,,,,,
roncoo/roncoo-education,1240,538,1699,FALSE,master,11,62382,9574,50719,14020,2280374,,,,,
fabric8io/fabric8-maven-plugin,334,201,2418,FALSE,master,69,38503,8759,33518,7127,1872183,,,,,
daniulive/smarterstreaming,10898,2757,1502,FALSE,master,1,6823331,2740,8937,2944,683689,,,,,
tls-attacker/tls-attacker,769,132,6737,FALSE,main,74,30333,21201,112326,20424,6145409,,,,,
tencent/tencentkona-8,930,147,49682,FALSE,master,140,533546,2464935,3871139,739949,270211787,,,,,
electroblob77/wizardry,190,101,1240,FALSE,1.12.2,25,20181,11319,52275,15475,3161393,,,,,
freeyourgadget/gadgetbridge,4192,655,10656,FALSE,master,303,47789,39383,209988,48976,12116222,,,,,
spoonlabs/astor,203,106,1800,FALSE,master,26,246102,1465962,2458714,486865,1491193,,,,,
apache/calcite-avatica,242,229,2822,FALSE,main,136,33020,14411,41374,8304,2289656,,,,,
apache/maven-dependency-plugin,155,173,1305,FALSE,master,67,2532,5975,12292,3325,802572,,,,,
objectbox/objectbox-java,4365,302,1827,FALSE,main,8,2740,11403,23548,5367,1466864,,,,,
jtablesaw/tablesaw,3499,634,2518,FALSE,master,83,66174,11312,56492,10999,2492361,,,,,
nextgenhealthcare/connect,868,265,9786,FALSE,development,17,662111,42860,251383,57180,14258611,,,,,
tencent/shadow,7303,1270,1641,FALSE,master,32,3630,7417,23331,5552,1176786,,,,,
drewnoakes/metadata-extractor,2542,479,1447,FALSE,main,54,12735,16149,39111,6453,2298356,,,,,
liaochong/myexcel,1647,326,1527,FALSE,master,14,4323,5255,11696,2100,645200,,,,,
apache/commons-math,570,354,7190,FALSE,master,50,28799,84541,148917,26128,10256376,,,,,
88250/symphony,2510,464,7071,FALSE,master,28,46785,17939,29068,7275,2042841,,,,,
88250/solo,1564,439,4600,FALSE,master,31,157242,10817,16168,3817,1124154,,,,,
jfree/jfreechart,1188,456,4226,FALSE,master,26,27390,124134,132945,26662,9560014,,,,,
openwms/org.openwms,484,164,5224,FALSE,master,3,103868,2080,1195,315,118622,,,,,
quelea-projection/quelea,150,145,4142,FALSE,master,96,1820526,17342,41307,5585,2366147,,,,,
gravitlauncher/launcher,131,105,2832,FALSE,master,36,9776,805,27939,4736,1248769,,,,,
linlinjava/litemall,19106,7168,1186,FALSE,master,61,24593,40871,60606,14958,3959073,,,,,
jctools/jctools,3497,554,1043,FALSE,master,40,7891,11159,40464,7004,2090856,,,,,
zq2599/blog_demos,4350,1813,1179,FALSE,master,2,247898,35149,68754,18633,4165305,,,,,
controlsfx/controlsfx,1545,267,3556,FALSE,master,120,27892,29289,42482,10351,3245110,,,,,
blankj/androidutilcode,32965,10637,1433,FALSE,master,39,47329,18093,39223,6934,2370153,,,,,
allure-framework/allure2,4079,703,1193,FALSE,main,79,14423,5033,13936,2976,779419,,,,,
authorjapps/zerocode,886,386,1673,FALSE,master,54,5043,1557,19573,5437,1001433,,,,,
java110/microcommunity,821,370,9367,FALSE,master,18,272244,169708,454253,138919,27326727,,,,,
spongepowered/sponge,383,210,9580,FALSE,api-11,120,62904,86527,172826,33367,13121302,,,,,
fvarrui/javapackager,1026,131,1779,FALSE,master,27,6665,1334,5912,1743,258132,,,,,
innoxia/liliths-throne-public,460,423,3915,FALSE,dev,75,380700,26737,525528,78014,27915885,,,,,
tronprotocol/wallet-cli,582,409,3221,FALSE,develop,64,43623,3461,22546,3383,1005968,,,,,
reposense/reposense,238,153,1042,FALSE,master,76,97678,2747,14079,3168,847415,,,,,
spring-cloud/spring-cloud-consul,813,541,1160,FALSE,main,64,76212,3390,9758,2735,558841,,,,,
microsoft/azure-maven-plugins,274,146,4479,FALSE,develop,46,12811,6197,56004,9979,3007720,,,,,
nordicsemiconductor/android-nrf-mesh-library,405,174,1588,FALSE,main,19,9115,18170,57009,10805,3615122,,,,,
ctripcorp/dal,1244,448,1551,FALSE,master,11,122290,9332,104517,23647,4862855,,,,,
jobrunr/jobrunr,2329,223,1697,FALSE,master,40,7038,4140,48230,11133,2605362,,,,,
cloudnetservice/cloudnet-v3,353,120,2885,FALSE,nightly,35,106564,45456,77733,15519,5156423,,,,,
spongepowered/spongedocs,108,115,1503,FALSE,stable,102,7326,800,1610,312,82115,,,,,
shadows-of-fire/apotheosis,162,125,1174,FALSE,1.2,30,12190,2404,24925,5010,1378047,,,,,
querz/mcaselector,3147,176,1406,FALSE,master,34,23303,768,33144,5767,1267433,,,,,
mobivm/robovm,935,133,1273,FALSE,master,31,207361,900043,1260676,201643,75432399,,,,,
nutzam/nutzboot,498,138,1251,FALSE,dev,23,6991,3038,27388,5661,1034003,,,,,
dmulloy2/protocollib,1001,261,1670,FALSE,master,81,30799,17749,37248,9210,2302772,,,,,
scada-lts/scada-lts,722,289,5231,FALSE,develop,24,194037,29137,177177,40555,10273793,,,,,
magento/magento2-phpstorm-plugin,435,102,2803,FALSE,5.4.0-develop,35,20274,15308,63904,12591,3151508,,,,,
eclipse/jkube,685,414,1936,FALSE,master,220,26787,26240,91364,16127,5087137,,,,,
confluentinc/kafka-connect-storage-cloud,268,328,3365,FALSE,master,79,3352,1886,12020,2250,613643,,,,,
vectorwing/farmersdelight,279,166,1783,FALSE,1.2,80,7344,474,15912,2360,797087,,,,,
mzmine/mzmine3,159,112,14218,FALSE,master,55,722537,113293,231385,50948,14723742,,,,,
stleary/json-java,4496,2550,1280,FALSE,master,88,2912,7555,14569,2120,955269,,,,,
almasb/fxgl,4315,546,5189,FALSE,dev,48,88655,11431,36300,10249,1808557,,,,,
locationtech/jts,1929,441,1507,FALSE,master,52,41730,68348,130498,28096,7499073,,,,,
thombergs/code-examples,2614,2618,1009,FALSE,master,33,157396,3009,45767,12428,1897632,,,,,
multiverse/multiverse-core,946,298,1506,FALSE,main,41,15674,6275,13819,2699,821649,,,,,
discordsrv/discordsrv,980,498,3975,FALSE,master,105,15515,4266,15146,2829,1018937,,,,,
javacord/javacord,742,180,2511,FALSE,master,61,7295,38049,48269,12607,3332528,,,,,
tinode/tindroid,337,189,1718,FALSE,master,11,29300,5730,33189,5680,1638606,,,,,
iandarwin/javasrc,240,151,5298,FALSE,master,3,55409,13947,49977,10549,2058936,,,,,
chestshop-authors/chestshop-3,272,178,1003,FALSE,master,39,5722,3261,12485,2928,662363,,,,,
williamfiset/algorithms,16943,4311,1632,FALSE,master,48,1274488,9028,30730,8500,1437187,,,,,
google/data-transfer-project,3549,483,1904,FALSE,master,67,10659,12613,49069,9196,2715152,,,,,
remkop/picocli,4863,418,4604,FALSE,main,123,85024,12662,73789,10894,4610778,,,,,
federicoiosue/omni-notes,2684,1106,3397,FALSE,develop,35,55770,4917,17169,3963,903151,,,,,
librepdf/openpdf,3457,575,1595,FALSE,master,122,38806,71848,102057,15908,6869702,,,,,
netflix/genie,1691,365,3188,FALSE,master,31,214508,40269,65730,10886,4404318,,,,,
knowm/xchart,1486,394,1728,FALSE,develop,57,14944,5180,25121,6892,1060190,,,,,
webankfintech/dataspherestudio,3004,997,3794,FALSE,master,52,250180,18747,57149,15071,7038972,,,,,
raiman/sikulix1,2519,327,2150,FALSE,master,9,175554,12169,51290,8686,2122872,,,,,
countly/countly-sdk-android,680,297,2091,FALSE,master,25,12133,7320,26757,6845,1639280,,,,,
apache/submarine,686,251,1051,FALSE,master,64,30721,36396,64620,9073,4223183,,,,,
plan-player-analytics/plan,848,169,6420,FALSE,master,72,85727,29114,83357,16879,5030201,,,,,
spinnaker/halyard,307,704,1863,FALSE,master,180,7922,19045,57562,11608,3242877,,,,,
dekorateio/dekorate,467,101,1879,FALSE,main,46,18566,16220,32954,8477,1933367,,,,,
frostwire/frostwire,495,156,7660,FALSE,master,22,1104540,70245,141503,22196,8618530,,,,,
rieckpil/blog-tutorials,772,757,1054,FALSE,master,7,26509,684,20926,5764,797881,,,,,
zaproxy/zap-hud,250,152,1878,FALSE,main,26,9851,1607,5276,998,289404,,,,,
twiliodeved/api-snippets,258,470,3810,FALSE,master,147,31201,2649,16645,4246,942883,,,,,
webankfintech/exchangis,437,206,1576,FALSE,master,36,43310,11255,53979,11713,2827652,,,,,
azure/azure-iot-sdk-java,195,234,1832,FALSE,main,81,75734,28255,92546,18504,5709216,,,,,
tencentyun/cos-java-sdk-v5,153,141,1051,FALSE,master,14,3726,38257,81590,20402,5023995,,,,,
confluentinc/rest-utils,124,209,10467,FALSE,master,85,15166,2556,13506,2461,682245,,,,,
noear/solon,2127,211,13530,FALSE,master,60,56260,27075,95216,25083,4042816,,,,,
microg/gmscore,8038,1660,1643,FALSE,master,108,10593,27185,57954,13163,3631590,,,,,
web3j/web3j,4936,1605,2198,FALSE,master,190,10195,11117,60913,11453,3411015,,,,,
googleapis/google-api-java-client,1335,694,1637,FALSE,main,70,14664,8366,13001,2537,884953,,,,,
flowci/flow-core-x,1602,120,2730,FALSE,master,4,8475,7417,24698,7593,1227943,,,,,
fkzhang/wechatunrecalled,1249,265,2718,FALSE,master,1,3887482,60,863,174,40447,,,,,
yangfuhai/jboot,732,251,4208,FALSE,master,29,39331,17125,47931,14826,2415442,,,,,
afkt/devutils,1327,302,4290,FALSE,master,1,16481,71774,97324,17835,6922651,,,,,
alibaba/alibaba-rsocket-broker,760,164,2973,FALSE,master,15,7606,3625,18052,3350,874023,,,,,
teamnewpipe/newpipeextractor,1312,402,2661,FALSE,dev,70,124345,8468,38711,7871,2171052,,,,,
openjdk/jmh,2132,299,1676,FALSE,master,50,4047,29681,53111,12591,3504357,,,,,
wso2/product-microgateway,290,247,4035,FALSE,main,53,94064,31376,112861,14369,2866062,,,,,
skinsrestorer/skinsrestorerx,497,169,2266,FALSE,dev,45,6985,6332,13780,2844,904179,,,,,
openhab/org.openhab.binding.zwave,170,202,1168,FALSE,main,51,26606,12838,30512,7010,2021730,,,,,
open-rsc/core-framework,226,125,7856,FALSE,develop,36,690059,13104,248647,28997,10899998,,,,,
skjolber/3d-bin-container-packing,418,116,1034,FALSE,master,11,4206,2832,18425,5709,790891,,,,,
consensys/tessera,170,105,7373,FALSE,master,31,1628904,2527,75513,21374,3403378,,,,,
ohdsi/webapi,125,162,1643,FALSE,master,64,29528,13370,65923,16252,3260623,,,,,
jitsi/jitsi-meet-torture,160,149,1225,FALSE,master,39,281143,10108,17406,4586,1056091,,,,,
apache/maven-resolver,122,125,1205,FALSE,master,46,7424,30252,58303,12670,3956622,,,,,
tronprotocol/java-tron,3704,1394,18335,FALSE,develop,184,209233,15645,179214,30696,8412316,,,,,
braisdom/objectivesql,1264,161,1182,FALSE,master,10,2600,6842,19539,5052,945197,,,,,
discord4j/discord4j,1766,262,4026,FALSE,master,85,24840,41095,49662,12808,3963386,,,,,
dibo-software/diboot,1444,277,3239,FALSE,develop-v3,11,17459,22543,31499,5574,1982017,,,,,
fasterxml/jackson-dataformats-binary,308,128,1402,FALSE,2.18,46,10565,12573,59334,10845,2898589,,,,,
datageartech/datagear,1418,335,3842,FALSE,master,5,85228,37723,88177,23156,4042952,,,,,
microsoft/azure-tools-for-java,236,157,11878,FALSE,develop,47,168152,24150,170971,30116,9322916,,,,,
alphawallet/alpha-wallet-android,576,525,5783,FALSE,master,71,65718,6129,121665,19654,5659392,,,,,
cassandre-tech/cassandre-trading-bot,577,162,2115,FALSE,development,9,27456,6019,19327,3700,1279468,,,,,
neznamy/tab,877,247,5099,FALSE,master,39,12258,9778,24015,4389,1464832,,,,,
kobylynskyi/graphql-java-codegen,252,113,1083,FALSE,main,47,3193,2717,16954,3912,954428,,,,,
rememberber/wepush,4058,972,1926,FALSE,master,2,45760,3674,24893,4583,1497861,,,,,
pravega/pravega,1981,405,3295,FALSE,master,97,49374,100768,294335,53612,20581223,,,,,
vertaai/modeldb,1688,285,4114,FALSE,main,50,55232,2880,86490,10709,3922443,,,,,
spring-cloud/spring-cloud-contract,716,439,4573,FALSE,main,148,136305,18323,43910,12120,2331026,,,,,
moxi624/mogu_blog_v2,1578,491,1200,FALSE,Nacos,24,68732,13336,26326,5630,1535971,,,,,
syndesisio/syndesis,594,205,17480,FALSE,1.15.x,91,190245,33456,115443,27783,7005847,,,,,
googlecloudplatform/getting-started-java,477,523,1445,FALSE,main,42,53270,1422,4103,645,317087,,,,,
database-rider/database-rider,632,131,1002,FALSE,master,46,18195,2264,22148,4902,1070512,,,,,
adorsys/keycloak-config-cli,732,137,2021,FALSE,main,40,4421,3078,21522,5385,1356917,,,,,
oraxen/oraxen,604,306,2378,FALSE,master,48,31557,1626,30062,5687,1652744,,,,,
fmi/java-course,169,121,1017,FALSE,master,34,95677,870,6641,2140,301806,,,,,
mindgamesnl/openaudiomc,337,105,3684,FALSE,master,45,321212,3589,29773,7468,1481429,,,,,
haifengl/smile,5999,1122,4019,FALSE,master,51,253328,82388,118147,25459,7687834,,,,,
stargate/stargate,820,161,1858,FALSE,main,39,17025,38961,196780,31634,9924898,,,,,
pnoker/iot-dc3,524,182,1393,FALSE,main,16,139781,31450,33647,9133,2394340,,,,,
guardianproject/orbot,2113,329,4517,FALSE,master,131,898114,603,5426,1364,284583,,,,,
saki4510t/libcommon,192,156,3482,FALSE,master,1,455102,34102,69272,10558,3531594,,,,,
powerjob/powerjob,6753,1186,1239,FALSE,master,22,19397,11163,30219,7780,1723874,,,,,
erupts/erupt,2508,469,2154,FALSE,master,21,163692,3955,23677,4887,11345519,,,,,
ome/openmicroscopy,195,101,48755,FALSE,develop,42,1985609,18018,47267,6954,2760038,,,,,
smartboot/smart-socket,505,111,1817,FALSE,master,8,8151,2955,7136,1326,385022,,,,,
provectus/kafka-ui,9155,1123,1918,FALSE,master,168,30382,693,33587,5198,1448482,,,,,
skytubeteam/skytube,2288,320,4620,FALSE,master,177,28096,5915,18151,4188,1034279,,,,,
zhongjhatc/albumcamerarecorder,976,109,1036,FALSE,androidx,3,252788,6640,16498,3575,914738,,,,,
usnistgov/jsip,279,129,2258,FALSE,master,21,14472,73760,114681,33914,7965686,,,,,
codeintelligencetesting/jazzer,998,134,1495,FALSE,main,33,5702,8101,35184,5290,1699742,,,,,
graphwalker/graphwalker-project,316,114,1989,FALSE,master,22,20803,8755,18143,3651,1121867,,,,,
suryakant-bharti/important-java-concepts,784,302,1129,FALSE,master,1,1006,1407,10275,2320,347295,,,,,
axelor/axelor-open-platform,391,298,11484,FALSE,master,13,38319,19368,63839,14340,2999650,,,,,
dapr/quickstarts,1024,520,1502,FALSE,master,130,183385,130,1198,289,57865,,,,,
googleads/googleads-mobile-flutter,335,274,1316,FALSE,main,225,5071,1437,9547,1468,465731,,,,,
dromara/hutool,28942,7483,5298,FALSE,v5-master,279,64895,109442,138830,30847,7712624,,,,,
dromara/forest,1651,212,2581,FALSE,master,21,7835,16695,57619,13132,2840580,,,,,
awslabs/multi-model-server,981,229,1192,FALSE,master,48,38657,1708,9680,1851,483206,,,,,
bg-software-llc/superiorskyblock2,166,138,4160,FALSE,master,23,63477,13052,106055,29289,5286042,,,,,
ballcat-projects/ballcat,1450,294,1683,FALSE,master,30,12982,26113,31983,9492,2174317,,,,,
biblelamp/javaexercises,146,135,2465,FALSE,master,2,4758,8693,63871,12473,2516583,,,,,
vaticle/typedb,3727,338,6605,FALSE,development,50,103004,4878,71291,14238,3903692,,,,,
dreamoftheredchamber/system-design-interviews,2033,663,1439,FALSE,master,8,640593,1292,3378,702,154774,,,,,
ofdrw/ofdrw,1287,389,1231,FALSE,master,29,367261,29547,49196,9819,2715001,,,,,
mcdcorp/opentest,443,107,1467,FALSE,master,8,7381,1805,12766,2702,632025,,,,,
sunchit/coding-decoded,376,269,3510,FALSE,master,48,8036,5777,32880,8215,1202216,,,,,
zebrunner/carina,953,217,8261,FALSE,master,55,57889,1495,7533,1899,411654,,,,,
jeecgboot/jeecg-boot,38243,14365,1160,FALSE,master,15,61396,27025,53140,9917,9148663,,,,,
cmu-db/benchbase,431,174,2263,FALSE,main,67,110970,13430,40746,7482,2109663,,,,,
itwanger/tobebetterjavaer,12630,1764,1359,FALSE,master,24,2030847,0,0,0,5608,,,,,
apolloconfig/apollo,29036,10207,2892,FALSE,master,148,53649,12994,44004,10687,2515370,,,,,
vazkiimods/patchouli,298,120,1028,FALSE,1.20.x,45,7929,722,11033,2724,463165,,,,,
ixrjog/opscloud4,1295,504,2068,FALSE,master,2,23627,27847,105199,26512,5304778,,,,,
yegor256/qulice,298,110,2016,FALSE,master,47,20650,7564,9065,1532,583378,,,,,
karatelabs/karate,8046,1930,4606,FALSE,master,107,26110,9211,46411,8034,2162549,,,,,
luckperms/luckperms,1990,509,2166,FALSE,master,78,14829,36255,66471,16140,4662265,,,,,
androidx/media,1569,373,21305,FALSE,release,277,574693,126261,476225,65786,25508260,,,,,
logfellow/logstash-logback-encoder,2429,407,1247,FALSE,main,68,3336,10551,19895,5901,1323823,,,,,
openjdk/jdk8u,223,175,49457,FALSE,master,132,1005497,2454573,3845609,735411,268597593,,,,,
huaweicloud/sermant,1121,143,1602,FALSE,develop,25,41517,77879,103959,24867,7060624,,,,,
openedx/edx-app-android,300,335,3700,FALSE,master,41,55107,8415,43266,8497,2145258,,,,,
youlaitech/youlai-mall,2107,719,1524,FALSE,master,18,146168,5439,12876,3780,674871,,,,,
chtrembl/azure-cloud,120,279,1595,FALSE,main,2,39612,1157,10242,2584,470339,,,,,
dtstack/taier,1304,325,1464,FALSE,master,44,154846,71654,166459,39073,9949923,,,,,
dromara/hertzbeat,4466,783,1362,FALSE,master,166,242865,17618,36157,6463,2274470,,,,,
draconic-inc/draconic-evolution,332,167,1187,FALSE,master,40,37619,11709,52256,9586,3270490,,,,,
camunda/zeebe,3046,549,38134,FALSE,main,139,274634,114172,542182,102585,27657315,,,,,
neoapplications/neo-launcher,1578,102,4169,FALSE,main,93,145807,26052,96797,19205,5448897,,,,,
camunda-consulting/camunda-7-code-examples,602,995,1782,FALSE,main,46,126869,42741,116035,36433,7769102,,,,,
matteobaccan/owner,914,212,1102,FALSE,master,26,5113,2878,8889,2368,452366,,,,,
grasscutters/grasscutter,16053,4471,2313,FALSE,development,184,96872,474791,2540125,244974,3450274,,,,,
linyuzai/concept,404,119,1010,FALSE,master,1,20000,19201,52352,12908,2436267,,,,,
microsoft/spring-cloud-azure,216,105,1835,FALSE,main,42,7487,140,329,49,14113,,,,,
didi/dokit,19889,3053,2340,FALSE,master,92,58535,28136,77640,15247,4296332,,,,,
cloudsimplus/cloudsimplus,408,194,3200,FALSE,master,27,45982,27625,25136,6597,2228341,,,,,
pascal-lab/tai-e,1333,172,2118,FALSE,master,13,12904,23121,46673,10129,2530694,,,,,
didi/knowstreaming,6876,1272,1372,FALSE,master,57,200006,7651,47390,12437,2769506,,,,,
anasimloul/leetcode-solutions,352,112,5405,FALSE,main,2,9822,5356,51349,7040,1952149,,,,,
alexmodguy/ice_and_fire,382,235,3458,FALSE,1.18.2,49,54313,3279,77305,10587,4155290,,,,,
mywalkb/lsposed_mod,3007,150,3095,FALSE,main,69,21892,5351,22413,3808,1209748,,,,,
deeplearning4j/deeplearning4j,13601,3826,2761,FALSE,master,68,748466,203138,699324,161237,43004115,,,,,
eclipse-hono/hono,450,139,6353,FALSE,master,48,51369,68354,119173,25630,8879799,,,,,
didi/knowsearch,369,103,3352,FALSE,master,12,252303,39371,129149,31921,7739171,,,,,
learning-zone/java-basics,1577,749,1169,FALSE,master,12,123197,585,6658,1806,203240,,,,,
gitblit-org/gitblit,2254,670,3375,FALSE,master,117,23550,25398,86194,17488,4240850,,,,,
vinylmusicplayer/vinylmusicplayer,824,147,3364,FALSE,master,70,22782,1829,29001,5919,1354900,,,,,
hyphanet/fred,1004,204,31804,FALSE,next,79,60655,42120,203507,32109,10004817,,,,,
kumar-laxmi/algorithms,310,372,2256,FALSE,main,150,4112,3518,13339,3205,665239,,,,,
dromara/ruoyi-cloud-plus,688,202,2868,FALSE,2.X,63,98703,23158,42056,9829,2360533,,,,,
esri/arcgis-maps-sdk-java-samples,112,119,2449,FALSE,main,19,481862,16112,28844,8334,2009109,,,,,
dromara/ruoyi-vue-plus,1035,286,4128,FALSE,5.X,121,20549,17974,28082,6679,1641201,,,,,
apache/incubator-celeborn,744,305,1660,FALSE,main,83,27209,8846,42629,7102,2257359,,,,,
testng-team/testng-eclipse,195,165,1131,FALSE,master,29,67052,3505,18671,3899,854253,,,,,
koushenhai/kcloud-platform-alibaba,397,102,5078,FALSE,master,11,98408,36987,57671,15043,3406873,,,,,
chat2db/chat2db,14621,1637,3743,FALSE,main,29,18485,18626,48500,11159,2585793,,,,,
NetEase/amoro,662,224,1158,FALSE,master,60,65765,43002,213945,30356,9599042,,,,,
apache/incubator-paimon,1734,726,2316,FALSE,master,133,30532,58770,229245,43738,13073433,,,,,
grpc-ecosystem/grpc-spring,3474,812,1491,FALSE,master,60,3849,9352,14437,3880,1010084,,,,,
hapifhir/hapi-hl7v2,265,132,1088,FALSE,master,15,98798,1792403,1116617,600515,110292326,,,,,
apache/incubator-kie-kogito-examples,253,374,1289,FALSE,stable,74,47903,9795,25783,6634,1710431,,,,,
datastrato/gravitino,654,199,1385,FALSE,main,81,16973,26495,130075,21426,6643099,,,,,
tink-crypto/tink,13456,1174,7864,FALSE,master,106,61010,31621,145561,18687,7943291,,,,,
Potion-Studios/BYG,222,104,2321,FALSE,1.19.4,49,142719,1712,56156,8830,3918033,,,,,
apache/logging-flume,2503,1568,2012,FALSE,trunk,62,45108,19904,65486,12434,3368543,,,,,
apache/incubator-amoro,674,231,1170,FALSE,master,61,65145,43034,213964,30357,9605713,,,,,
junixapp/XPopup,7650,1156,1102,FALSE,master,1,152990,2077,11637,1651,581114,,,,,
apache/parquet-java,2543,1392,2675,FALSE,master,219,15027,33604,126164,21735,6548148,,,,,
zulip/zulip-android-legacy,408,246,1087,FALSE,master,32,8983,2159,14794,2809,721868,,,,,
,,,,,,,,,116353.1983,,,,,,,