Metric,Total,Mean,Median,Variance,Standard Deviation,Min,Max
Refactoring Commits,471903,1037.149451,576,3200334.678,1788.947925,1,21532
Total Refactorings,6678593,14678.22637,6167,1202343300,34674.82228,2,479036
Test Refactorings,1177833,2588.643956,641,70397369.71,8390.314041,0,145370
Production Refactorings,5500760,12089.58242,5170,842019760.7,29017.57676,0,456408
Avg Refactorings per Commit (Total),5719.192168,12.56965312,10.36621315,84.71665518,9.204165099,1.1,83.86046512
Unique Test Files Changed,172195,378.4505495,123,804217.1776,896.7815663,0,12599
Unique Production Files Changed,601278,1321.49011,651,4763382.008,2182.517356,0,25919
Test-Only Commits,52068,114.4351648,43,102904.5239,320.7873499,0,4926
Production-Only Commits,360655,792.6483516,438,1531988.352,1237.73517,0,10693
Mixed Commits,59180,130.0659341,47,147592.608,384.1778338,0,6359