Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage
CHANGE_PARAMETER_TYPE,383205,868.9455782,280,4513072.42,2124.399308,1,26393,6.966401006%
CHANGE_VARIABLE_TYPE,360448,808.1793722,292.5,4806118.359,2192.286103,1,33232,6.552694537%
ADD_METHOD_ANNOTATION,301451,685.1159091,199.5,5141196.212,2267.420608,1,38226,5.480170013%
CHANGE_RETURN_TYPE,290943,659.7346939,239,2535065.845,1592.189011,1,21454,5.289141864%
ADD_PARAMETER,260639,587.0247748,221,2355494.85,1534.762148,1,21003,4.738236171%
RENAME_METHOD,229658,514.9282511,187,1458812.678,1207.81318,1,14403,4.175023088%
MOVE_CLASS,220160,495.8558559,166.5,919029.0582,958.6600326,1,11126,4.002356038%
CHANGE_ATTRIBUTE_TYPE,201793,455.5146727,151,1385989.563,1177.280579,1,14611,3.668456722%
RENAME_PARAMETER,182087,408.2668161,171,726455.0275,852.3233116,1,11319,3.310215316%
RENAME_VARIABLE,171523,382.8638393,154,1011262.521,1005.615493,1,15610,3.118169126%
ADD_PARAMETER_MODIFIER,160103,473.6775148,20.5,3460711.376,1860.298733,1,16288,2.91056145%
EXTRACT_OPERATION,146656,330.3063063,144.5,877557.0256,936.7801373,1,16917,2.66610432%
REMOVE_PARAMETER,146012,331.8454545,117,1027289.088,1013.552706,1,16511,2.654396847%
CHANGE_OPERATION_ACCESS_MODIFIER,138878,313.4943567,128,829445.3365,910.7388959,1,15435,2.524705677%
CHANGE_ATTRIBUTE_ACCESS_MODIFIER,137274,314.1281465,103,2992261.75,1729.815525,1,35109,2.49554607%
EXTRACT_VARIABLE,119648,270.6968326,118.5,496429.0235,704.5771949,1,12240,2.17511762%
ADD_VARIABLE_MODIFIER,116992,307.8736842,20,1692429.615,1300.934132,1,13874,2.126833383%
REMOVE_METHOD_ANNOTATION,114358,262.2889908,62.5,3009342.762,1734.745734,1,35073,2.078949091%
MOVE_OPERATION,110884,252.5831435,116,292959.8236,541.2576314,1,6463,2.015794181%
RENAME_ATTRIBUTE,110880,249.7297297,102,274159.5882,523.6025097,1,5676,2.015721464%
ADD_ATTRIBUTE_MODIFIER,103533,240.2157773,80,1034451.798,1017.080035,1,20103,1.882158102%
MOVE_ATTRIBUTE,76538,176.7621247,71,213996.4873,462.5975435,1,6997,1.391407733%
REMOVE_ATTRIBUTE_MODIFIER,62172,146.6320755,40.5,875499.5901,935.6813507,1,18898,1.130243821%
ADD_PARAMETER_ANNOTATION,60272,212.975265,32,596479.9887,772.3211694,1,8730,1.095703139%
INLINE_OPERATION,58272,134.8888889,27,884896.2753,940.6892555,1,14622,1.059344527%
REMOVE_THROWN_EXCEPTION_TYPE,57901,135.9178404,26,549576.5697,741.3343171,1,14124,1.052600004%
PULL_UP_OPERATION,57080,143.7783375,58,68928.4861,262.5423511,1,2793,1.037674794%
ADD_CLASS_ANNOTATION,55769,138.0420792,43,84085.78731,289.9754943,1,2949,1.013841724%
ADD_ATTRIBUTE_ANNOTATION,49983,134.002681,27,80679.71236,284.041744,1,2354,0.9086562584%
INLINE_VARIABLE,48087,109.2886364,43,175591.1807,419.0360137,1,8153,0.874188294%
ADD_METHOD_MODIFIER,47908,112.990566,41.5,113340.6902,336.661091,1,5485,0.8709341982%
RENAME_CLASS,43308,98.42727273,42.5,35194.87853,187.6029811,1,1918,0.78730939%
ADD_THROWN_EXCEPTION_TYPE,42135,100.5608592,27,77717.33779,278.7782951,1,3049,0.7659850639%
REMOVE_METHOD_MODIFIER,40347,95.15801887,33,92982.62036,304.9305173,1,5336,0.7334804645%
EXTRACT_AND_MOVE_OPERATION,39938,93.53161593,38,34468.4186,185.6567225,1,1874,0.7260451283%
ENCAPSULATE_ATTRIBUTE,38706,90.64637002,36,44798.45446,211.6564539,1,2295,0.7036482232%
MODIFY_CLASS_ANNOTATION,32627,103.5777778,15,97578.86256,312.3761556,1,4202,0.5931362212%
REMOVE_ATTRIBUTE_ANNOTATION,32373,100.5372671,19,58351.77587,241.5611224,1,2857,0.5885186774%
MODIFY_METHOD_ANNOTATION,31826,107.8847458,16,83970.68055,289.7769497,1,2946,0.578574597%
REPLACE_ANONYMOUS_WITH_LAMBDA,29289,104.9784946,12,451492.6974,671.9320631,1,10475,0.5324536973%
REMOVE_CLASS_ANNOTATION,29149,80.30027548,17,51139.37644,226.1401699,1,2836,0.5299085944%
MODIFY_ATTRIBUTE_ANNOTATION,28174,118.3781513,17,167017.2488,408.6774386,1,4194,0.512183771%
CHANGE_THROWN_EXCEPTION_TYPE,26798,80.47447447,12,75877.29227,275.4583313,1,3511,0.4871690457%
PARAMETERIZE_VARIABLE,26642,61.52886836,29,22795.1803,150.9807282,1,2385,0.484333074%
PUSH_DOWN_OPERATION,26556,74.59550562,23,27391.31761,165.5032254,1,1929,0.4827696536%
REMOVE_PARAMETER_MODIFIER,26275,80.10670732,10,121716.6216,348.8790931,1,5443,0.4776612686%
PULL_UP_ATTRIBUTE,26044,68.7176781,30,22788.51003,150.9586368,1,2149,0.4734618489%
REMOVE_PARAMETER_ANNOTATION,25866,99.86872587,13,127105.7811,356.5189773,1,4104,0.4702259324%
REMOVE_VARIABLE_MODIFIER,25407,67.39257294,11,61304.72846,247.5979169,1,3774,0.4618816309%
MOVE_AND_RENAME_OPERATION,22271,51.79302326,23,10070.54214,100.3520909,1,1051,0.4048713269%
CHANGE_CLASS_ACCESS_MODIFIER,21606,52.56934307,20,18812.55798,137.1588786,1,1863,0.3927820883%
MOVE_RENAME_CLASS,21556,52.06763285,17,17904.92035,133.8092686,1,1576,0.391873123%
MOVE_RENAME_ATTRIBUTE,21339,86.74390244,5,436820.5423,660.9240065,1,7657,0.3879282136%
REPLACE_VARIABLE_WITH_ATTRIBUTE,19512,46.12765957,18,17066.05475,130.6371109,1,2246,0.3547146213%
MOVE_AND_INLINE_OPERATION,17799,48.36684783,11,24180.70702,155.5014695,1,1667,0.3235734698%
ADD_CLASS_MODIFIER,17100,42.53731343,14.5,9831.481148,99.15382568,1,1012,0.3108661349%
REPLACE_ATTRIBUTE_WITH_VARIABLE,15235,36.53477218,14,15787.61958,125.6487946,1,2324,0.2769617289%
EXTRACT_CLASS,15097,35.77488152,16,5374.640413,73.31193909,1,768,0.2744529847%
LOCALIZE_PARAMETER,13800,33.17307692,14,5763.179611,75.91560848,1,1032,0.2508744246%
PUSH_DOWN_ATTRIBUTE,12956,41.39297125,13,20827.89957,144.3187429,1,2196,0.2355310902%
EXTRACT_ATTRIBUTE,11657,28.78271605,12,3282.111087,57.28971187,1,666,0.2119161716%
MOVE_SOURCE_FOLDER,11175,28.0075188,12,3292.389391,57.37934638,1,754,0.203153746%
REMOVE_CLASS_MODIFIER,10988,28.10230179,10,5953.948482,77.16183306,1,933,0.1997542158%
MERGE_CONDITIONAL,9665,25.9811828,8,8519.867569,92.30312871,1,1508,0.1757029938%
MOVE_CODE,9012,26.98203593,6,43369.78947,208.2541463,1,3714,0.1638319069%
EXTRACT_SUPERCLASS,8788,22.19191919,10,1572.985859,39.66088575,1,441,0.1597597423%
SPLIT_CONDITIONAL,7930,20.28132992,7,3812.300138,61.74382672,1,935,0.1441618976%
MERGE_PARAMETER,6746,19.44092219,7,2025.513118,45.00570095,1,513,0.1226375992%
INVERT_CONDITION,6423,17.99159664,5,4684.379143,68.44252437,1,894,0.1167656833%
REORDER_PARAMETER,6276,18.6231454,6,2702.479582,51.98537854,1,570,0.1140933253%
EXTRACT_INTERFACE,4960,14.09090909,6,779.2623673,27.91527122,1,338,0.09016935842%
ADD_VARIABLE_ANNOTATION,4898,19.99183673,4,8255.442556,90.85946597,1,1005,0.08904224144%
CHANGE_TYPE_DECLARATION_KIND,4652,13.60233918,5,849.5657423,29.14731106,1,386,0.08457013213%
PARAMETERIZE_ATTRIBUTE,4361,12.49570201,5,1191.325413,34.51558217,1,496,0.07927995404%
RENAME_PACKAGE,4085,11.34722222,5,442.0323042,21.02456431,1,202,0.07426246555%
MODIFY_PARAMETER_ANNOTATION,3922,31.376,10,5903.655871,76.83525149,1,744,0.07129923865%
MOVE_PACKAGE,3742,10.87790698,5,383.5069157,19.5833326,1,187,0.06802696355%
MERGE_ATTRIBUTE,2970,9.611650485,4,487.9396041,22.08935499,1,227,0.05399253921%
SPLIT_PARAMETER,2791,8.561349693,3,601.3116092,24.52165592,1,264,0.05073844342%
REPLACE_ANONYMOUS_WITH_CLASS,2722,12.77934272,3,5626.93693,75.01291175,1,1079,0.04948407129%
REPLACE_LOOP_WITH_PIPELINE,2554,11.82407407,5,686.4061154,26.19935334,1,272,0.04642994786%
EXTRACT_SUBCLASS,2543,8.229773463,3,375.2035262,19.37017104,1,225,0.04622997549%
REMOVE_VARIABLE_ANNOTATION,2156,11,3.5,820.9230769,28.65175522,1,274,0.03919458402%
MERGE_VARIABLE,2071,6.857615894,3,247.7172009,15.73903431,1,220,0.037649343%
MERGE_CATCH,1564,8.593406593,3,405.0492381,20.12583509,1,209,0.02843243479%
INLINE_ATTRIBUTE,1549,7.073059361,2,1139.957941,33.76326318,1,492,0.0281597452%
SPLIT_ATTRIBUTE,1549,5.694852941,2,186.3530361,13.65111849,1,165,0.0281597452%
SPLIT_PACKAGE,1055,4.839449541,2,55.50866698,7.45041388,1,58,0.01917916797%
MERGE_PACKAGE,1034,5.442105263,2,129.009858,11.35825066,1,125,0.01879740254%
MERGE_CLASS,1013,4.36637931,2,35.50587774,5.958680873,1,40,0.01841563711%
COLLAPSE_HIERARCHY,995,6.337579618,2,143.8917197,11.99548747,1,99,0.0180884096%
REPLACE_PIPELINE_WITH_LOOP,932,6.427586207,2,198.9131226,14.10365636,1,146,0.01694311332%
SPLIT_OPERATION,918,4.392344498,2,194.4318642,13.94388268,1,188,0.01668860303%
SPLIT_CLASS,777,3.484304933,2,36.75538319,6.062621808,1,48,0.01412532086%
MERGE_OPERATION,526,3.811594203,1,278.6795726,16.69369859,1,196,0.009562315026%
REPLACE_ATTRIBUTE,424,3.475409836,1,94.25145644,9.70831893,1,104,0.0077080258%
SPLIT_VARIABLE,381,3,1,27.20634921,5.215970591,1,41,0.006926315636%
MODIFY_VARIABLE_ANNOTATION,107,4.115384615,1,28.82615385,5.368999334,1,20,0.001945185756%
ASSERT_THROWS,8,8,8,,,8,8,0.0001454344491%
PARAMETERIZE_TEST,3,3,3,,,3,3,0.0000545379184%
,,,,,,,,
Total,5500760,,,,,,,100%