code_type,metric,refactoring_type,statistic,p_value,n_pairs,effect_size_r,delta_count,delta_mean,delta_std,delta_min,delta_25%,delta_50%,delta_75%,delta_max
production,NOF,Overall,4376487402938,0,5639865,0.05,5639865,-0.398,9.197,-616,-2,0,2,521
production,NOPF,Overall,173351807645,0,5639865,0.025,5639865,-0.125,5.626,-616,0,0,0,409
production,NOM,Overall,5365161343495,0,5639865,0.054,5639865,-0.774,16.299,-871,-3,0,3,1724
production,NOPM,Overall,5047652144854,0,5639865,0.04,5639865,-0.472,13.646,-648,-2,0,2,1156
production,LOC,Overall,6726880950357,0,5639865,0.055,5639865,-5.423,117.137,-3877,-31,-1,23,3929
production,WMC,Overall,5537651978374,0,5639865,0.066,5639865,-1.617,26.377,-1739,-6,0,4,3022
production,NC,Overall,201970063441,0,5639865,0.029,5639865,-0.036,1.691,-66,0,0,0,126
production,DIT,Overall,657866105657,0,5639865,-0.001,5639865,0.05,73.534,-23559,0,0,0,23567
production,LCOM,Overall,3938882531370,0,5639865,-0.035,5639865,0.024,0.917,-2,-0.5,0,0.75,2
production,FANIN,Overall,2958163176621,0,5639865,0.067,5639865,-0.769,15.348,-845,-2,0,1,678
production,FANOUT,Overall,4492910627580,0,5639865,-0.015,5639865,0.05,4.045,-180,-1,0,2,131
,,,,,,,,,,,,,,
test,NOF,Overall,922649281103,0,2603013,-0.08,2603013,0.415,7.232,-166,-1,0,2,284
test,NOPF,Overall,18818739186,0,2603013,-0.118,2603013,0.223,2.637,-47,0,0,0,275
test,NOM,Overall,1290870641218,0,2603013,-0.073,2603013,0.742,13.283,-460,-3,0,3,870
test,NOPM,Overall,1182254626912,0,2603013,-0.039,2603013,0.349,11.833,-460,-3,0,2,647
test,LOC,Overall,1553469515213,0,2603013,-0.036,2603013,3.016,107.039,-7688,-24,-1,23,2674
test,WMC,Overall,1208469365825,0,2603013,-0.148,2603013,2.066,18.395,-513,-3,0,5,1255
test,NC,Overall,46331787532,0,2603013,-0.024,2603013,0.053,3.141,-74,0,0,0,72
test,DIT,Overall,172242063549,0,2603013,0,2603013,-0.01,46.19,-23571,0,0,0,17675
test,LCOM,Overall,883307448165,0,2603013,0.047,2603013,-0.032,0.898,-2,-0.667,0,0.5,2
test,FANIN,Overall,267741335854,0,2603013,-0.191,2603013,1.306,9.645,-132,0,0,1,395
test,FANOUT,Overall,771272458036,0,2603013,0.123,2603013,-0.41,4.434,-107,-2,0,1,104